A,B,C,D,E,F,G,H,I,J,K,L,M
0.0,-3.8861867369364584,-3.2456548630263597,-1.7101148224011877,-0.0027936146361468173,-0.00028832450859457207,0.00043536615543559784,3.926541824699555,3.2239332293794987,1.6853781667071195,0.0,0.0,0.0
0.001,-3.886131092441777,-3.2456388825097955,-1.710086223860754,0.0925427063051211,0.024549282102831922,0.048925043964690586,3.926486180204874,3.2239172488629344,1.6853495681666857,-0.09533632094126791,-0.024837606611426494,-0.04848967780925499
0.002,-3.8860293510905133,-3.24562020217412,-1.7100361023802217,0.11574758635193748,0.021340176435794993,0.059155767721669444,3.92638443885361,3.2238985685272588,1.6852994466861535,-0.1185412009880843,-0.021628500944389565,-0.05872040156623385
0.003,-3.8858718265554617,-3.2455766380514057,-1.709954002957059,0.1957223469778607,0.06577461486623466,0.10624336891804759,3.9262269143185584,3.2238550044045446,1.6852173472629908,-0.19851596161400753,-0.06606293937482924,-0.10580800276261199
0.004,-3.8856283016450437,-3.245486945969203,-1.7098238282468163,0.2857835702612031,0.11332337421109301,0.15574020770983796,3.9259833894081404,3.223765312322342,1.685087172552748,-0.2885771848973499,-0.11361169871968758,-0.15530484155440236
0.005,-3.88529459056062,-3.245348844529903,-1.7096418667775464,0.3752526268481483,0.16202155779639132,0.20861872402831366,3.9256496783237167,3.2236272108830417,1.6849052110834781,-0.3780462414842951,-0.1623098823049859,-0.20818335787287806
0.006,-3.884873810866243,-3.245162897167621,-1.70940833095146,0.46060228467889974,0.20892487670786408,0.2588127807350461,3.9252288986293395,3.22344126352076,1.6846716752573918,-0.46339589931504654,-0.20921320121645864,-0.2583774145796105
0.007,-3.8843680363272592,-3.244931165180159,-1.7091261343592576,0.5445529826604383,0.25386050152309797,0.3058098876178269,3.924723124090356,3.223209531533298,1.6843894786651894,-0.5473465972965851,-0.25414882603169253,-0.3053745214623913
0.008,-3.8837807279912853,-3.2446548030695497,-1.7087988633390947,0.6239198925527011,0.2986475068538788,0.3494603150768914,3.924135815754382,3.2229331694226886,1.6840622076450265,-0.6267135071888479,-0.29893583136247337,-0.3490249489214558
0.009000000000000001,-3.8831157207950744,-3.2443325748555605,-1.7084283670873925,0.7004776339887013,0.3456817921272184,0.39220486636709206,3.923470808558171,3.2226109412086994,1.6836917113933243,-0.7032712486248481,-0.34597011663581295,-0.39176950021165646
0.010000000000000002,-3.882374241135305,-3.2439619610052315,-1.7080157192375256,0.7767699489719245,0.3950728123394265,0.4339537959267424,3.9227293288984018,3.2222403273583704,1.6832790635434574,-0.7795635636080713,-0.39536113684802104,-0.4335184297713068
