A,B,C,D,E,F,G
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002253267237494367,-2.6807791575795945e-6,9.423900977643849e-5,3.334400185137672e-5,-0.0026807791575795942,0.0942390097764385,0.033344001851376724
0.004506534474988734,-5.361558315159189e-6,0.00018847801955287698,6.668800370275345e-5,-0.0026807791575795942,0.0942390097764385,0.033344001851376724
0.0067598017124831005,-1.0723116630318378e-5,0.00037695603910575397,0.0001333760074055069,-0.0053615583151591885,0.188478019552877,0.06668800370275345
0.009013068949977467,-1.8765454103057163e-5,0.0006596730684350695,0.00023340801295963705,-0.008042337472738786,0.28271702932931553,0.10003200555413017
0.011266336187471835,-2.9488570733375544e-5,0.0010366291075408238,0.000366784020365144,-0.01072311663031838,0.3769560391057542,0.13337600740550698
0.013519603424966201,-4.289246652127351e-5,0.0015078241564230159,0.0005335040296220276,-0.013403895787897966,0.4711950488821921,0.16672000925688354
0.015772870662460567,-5.897714146675109e-5,0.0020732582150816475,0.000733568040730288,-0.01608467494547758,0.5654340586586316,0.20006401110826047
0.018026137899954935,-7.774259556980825e-5,0.0027329312835167167,0.000966976053689925,-0.01876545410305716,0.6596730684350691,0.23340801295963698
0.020279405137449302,-9.918882883044502e-5,0.003486843361728225,0.0012337280685009388,-0.021446233260636768,0.7539120782115083,0.26675201481101374
0.02253267237494367,-0.00012331584124866134,0.0043349944497161706,0.0015338240851633293,-0.024127012418216326,0.8481510879879456,0.30009601666239055
0.024785939612438034,-0.0001501236328244573,0.005277384547480556,0.0018672641036770964,-0.02680779157579596,0.9423900977643855,0.3334400185137671
0.027039206849932402,-0.00017961220355783286,0.00631401365502138,0.0022340481240422407,-0.029488570733375557,1.0366291075408243,0.36678402036514424
0.02929247408742677,-0.00021178155344878802,0.007444881772338642,0.0026341761462587614,-0.03216934989095516,1.130868117317262,0.4001280222165207
0.031545741324921134,-0.0002466316824973227,0.008669988899432341,0.0030676481703266587,-0.03485012904853467,1.2251071270936988,0.43347202406789725
0.0337990085624155,-0.00028416259070343703,0.009989335036302482,0.003534464196245933,-0.03753090820611434,1.319346136870141,0.4668160259192742
0.03605227579990987,-0.000324374278067131,0.011402920182949059,0.004034624224016584,-0.04021168736369397,1.413585146646577,0.5001600277706507
0.03830554303740424,-0.0003672667445884045,0.012910744339372074,0.004568128253638611,-0.04289246652127349,1.5078241564230148,0.5335040296220277
0.040558810274898605,-0.0004128399902672576,0.01451280750557153,0.005134976285112016,-0.045573245678853104,1.602063166199456,0.5668480314734046
0.04281207751239297,-0.0004610940151036903,0.016209109681547422,0.005735168318436797,-0.04825402483643273,1.696302175975892,0.6001920333247807
0.04506534474988734,-0.0005120288190977026,0.017999650867299755,0.006368704353612955,-0.0509348039940123,1.7905411857523332,0.6335360351761585
0.0473186119873817,-0.0005656444022492945,0.019884431062828525,0.007035584390640489,-0.05361558315159192,1.8847801955287693,0.6668800370275337
0.04957187922487607,-0.0006192599854008865,0.021769211258357294,0.007702464427668023,-0.05361558315159192,1.8847801955287693,0.6668800370275346
